threshold,ACC,Precision,Recall,F1,MCC
40,0.8026587506453279,0.8128517192296597,0.8026587506453279,0.7985037455687791,0.7573244550919811
50,0.8008720930232558,0.8185874390752933,0.8008720930232558,0.7969972954511341,0.7570280260919342
60,0.8297820230222875,0.8358914418609856,0.8297820230222875,0.8296014483150467,0.792181450900752
70,0.8211458948611932,0.8142096041234722,0.8211458948611932,0.8143628232441543,0.7804386684662775
80,0.8425969173283513,0.8416696315766564,0.8425969173283513,0.8390803401312381,0.806077750464392
90,0.870749094308753,0.8713032508975954,0.870749094308753,0.8678273314634353,0.8406773112647198
