threshold,ACC,Precision,Recall,F1,MCC,Sensitivity,Specificity
40,0.9812600969305331,0.9846394168185368,0.9777662874870734,0.9811908159294331,0.9625435831197926,0.9777662874870734,0.9847525520093036
50,0.9690190372256579,0.9865374937091093,0.9510006064281382,0.9684431544494535,0.9386464233288999,0.9510006064281382,0.9870287307552431
60,0.9741278891545583,0.9858093683285194,0.9621277117293786,0.9738245875201587,0.9485302617772434,0.9621277117293786,0.9861383709519136
70,0.9812481514344868,0.9825664136622391,0.9798935541099941,0.9812281636762006,0.9624998931029431,0.9798935541099941,0.982603550295858
80,0.9725354993279962,0.9867549668874173,0.9579193454120397,0.972123368920522,0.9454743653468874,0.9579193454120397,0.987146529562982
90,0.9819798736250878,0.9886134503617602,0.9751959751959752,0.98185887619272,0.9640486172527083,0.9751959751959752,0.988765359859567
