family host,Precision,Recall,F1
minor capsid,0.9444444444444444,0.8947368421052632,0.918918918918919
tail fiber,0.8399311531841652,0.9644268774703557,0.8978840846366145
major tail,0.9455587392550143,0.9850746268656716,0.9649122807017544
portal,0.9982174688057041,0.9929078014184397,0.9955555555555555
minor tail,0.9919472913616398,0.9548978153629316,0.9730700179533214
baseplate,0.989451476793249,0.9720207253886011,0.9806586513329848
major capsid,0.9938524590163934,0.9661354581673307,0.9797979797979798
